county_fips,ngo_count,food_ngo_count,matched_filer_count,total_revenue,total_assets,filer_coverage_rate,population,avg_food_desert_pct,avg_housing_burden,dac_tract_pct,avg_dac_score,poverty_rate,med_household_income,unemployment,ngo_per_10k,food_ngo_per_10k,revenue_per_capita,assets_per_capita,need_score,capacity_score,gap_score,food_capacity_score,food_gap_score,need_component_count,capacity_component_count
01001,379,5,17,118893719.0,131623157.0,0.044854881266490766,55380.0,0.6301733477789816,34.24939869989166,0.0,15.261287206825568,11.7,62250.414713705504,0.036766438840443,68.43625857710364,0.9028530155290719,2146.871054532322,2376.727284218129,0.43755605574738027,0.8135189977585906,-0.37596294201121033,-0.8509974070706048,1.288553462817985,3,3
01003,1701,17,70,226821762.0,219887883.0,0.0411522633744856,212830.0,0.47753136305971905,27.51005873232157,0.0,15.864557434882299,10.0,61814.785821853955,0.0425506207396518,79.92294319409858,0.7987595733684161,1065.7414932105437,1033.1620683174365,-0.32223296489255504,0.5923487545442224,-0.9145817194367775,-0.942033686358654,0.619800721466099,3,3
01005,242,1,8,2017889.0,2418839.0,0.03305785123966942,25361.0,0.577500887188991,28.888525689050116,0.0,18.365691183352393,25.5,34474.03821769204,0.091664867199309,95.4221048065928,0.39430621820906114,79.56661803556642,95.37632585465873,0.8299170205414672,-0.3755101238504383,1.2054271443919056,-1.3541948912229849,2.184111911764452,3,3
01007,143,2,6,370526.0,679925.0,0.04195804195804196,22493.0,0.0,30.93983461521362,0.0,18.311934915395902,19.4,50390.921597095,0.0728498783992925,63.575334548526214,0.8891655181612057,16.472947139109944,30.22829324678789,-0.015705735857405496,-1.2748482717835088,1.2591425359261033,-0.8626795645855942,0.8469738287281887,3,3
01009,329,4,16,3677208.0,3156056.0,0.0486322188449848,57681.0,0.12322948631265061,27.32000312061164,0.0,17.780898851840295,12.8,52315.74414600595,0.0336419753086419,57.03784608449923,0.6934692533069816,63.75076715036147,54.71569494287547,-0.5483472287979446,-0.9273550848794648,0.3790078560815202,-1.039641587117458,0.4912943583195134,3,3
01011,115,1,1,130475.0,120399.0,0.008695652173913044,10248.0,1.0,34.81752537080406,0.0,18.867450961455894,33.6,40049.24009394293,0.0387269085243712,112.21701795472288,0.975800156128025,12.731752537080405,11.748536299765808,2.2117584344392887,-1.0900871438404176,3.301845578279706,-0.7901214063024345,3.001879840741723,3,3
01013,197,1,4,31361646.0,30121114.0,0.02030456852791878,19828.0,0.4736735928989308,26.48308452693161,0.1111111111111111,18.079639404276783,23.6,43126.20036899167,0.0680455987777647,99.35444825499293,0.5043373007867662,1581.6847891870082,1519.1201331450475,0.426692953125144,0.9291526174408945,-0.5024596643157505,-1.2312821576627209,1.6579751107878649,3,3
01015,1002,12,37,14061119.0,41276642.0,0.036926147704590816,114618.0,0.6999075188888307,28.107840827793197,0.1935483870967742,17.398781838358722,20.1,50086.72331981667,0.0807968372164434,87.42082395435271,1.04695597550123,122.67810466069902,360.1235582543754,0.5764627234743239,-0.06620544994811567,0.6426681734224395,-0.7328682290920462,1.30933095256637,3,3
01017,244,3,11,1214512.0,1072648.0,0.045081967213114756,33660.0,0.35837789661319075,22.674616755793227,0.2222222222222222,18.89621792566845,17.1,44823.13919102163,0.039387873700523,72.4896019013666,0.8912655971479501,36.081758764111704,31.867142008318478,-0.3712733112577619,-0.9885083477449919,0.6172350364872299,-0.8608816795432277,0.4896083682854658,3,3
01019,166,3,5,269169.0,214363.0,0.030120481927710843,25903.0,0.16090800293402308,25.123433579122107,0.0,17.24631344546964,15.6,44430.967195924146,0.0443359187972804,64.08524109176544,1.1581670076825077,10.391421843029764,8.275605142261513,-0.49734588266611274,-1.6217165762858585,1.1243706936197457,-0.647255562114905,0.14990967944879224,3,3
01021,260,3,15,2468702.0,4153672.0,0.057692307692307696,44055.0,0.15625922142776075,26.378156849392802,0.0,18.90620160751334,15.3,50312.487198075505,0.0640820249919897,59.01713766882306,0.6809669731018045,56.03681761434571,94.28378163659063,-0.4291422788099372,-0.8202665762235339,0.3911242974135967,-1.0516326468067767,0.6224903679968394,3,3
01023,156,1,6,1571438.0,1428489.0,0.038461538461538464,12925.0,0.42684719535783366,31.57590715667311,0.25,19.335853271179882,24.8,38042.803373079245,0.079011255793423,120.6963249516441,0.7736943907156673,121.58127659574468,110.52139264990329,0.820515624466604,-0.06906869366392744,0.8895843181305314,-0.9647416888639354,1.7852573133305394,3,3
01025,220,4,7,815609.0,659001.0,0.031818181818181815,24128.0,0.7373590848806366,26.897708057029178,0.5555555555555556,20.51770591818634,19.0,39645.408931423604,0.1220338983050847,91.18037135278514,1.6578249336870026,33.803423408488065,27.31270722811671,0.46171167952441167,-0.861861625481202,1.3235733050056138,-0.3102631127694236,0.7719747922938353,3,3
01027,108,1,4,675528.0,1096059.0,0.037037037037037035,13337.0,0.0,21.336447476943842,0.0,16.87897618594886,16.9,43292.60848583033,0.0540818072907752,80.97773112394091,0.7497938067031567,50.650671065457,82.18182499812552,-0.8681482293166956,-0.6343897632444092,-0.23375846607228634,-0.9866955001783789,0.11854727086168337,3,3
01029,74,2,1,176819.0,41663.0,0.013513513513513514,14916.0,0.0,23.73304505229284,0.0,17.280288962858673,15.8,47422.073601775846,0.0594924192485168,49.61115580584607,1.3408420488066506,11.854317511397158,2.793175113971574,-0.7603664604060044,-1.9704830646196363,1.2101166042136318,-0.5157728191301683,-0.24459364127583616,3,3
01031,364,3,11,6339173.0,3130459.0,0.03021978021978022,51662.0,0.5670705741163719,26.06683829507182,0.0,15.34814289955867,16.5,58971.00889524157,0.0573985628845574,70.45797684952188,0.5806976113971585,122.70475397777864,60.595002129224575,0.06497844785764922,-0.5956333608680965,0.6606118087257458,-1.15115792347252,1.2161363713301692,3,3
01033,425,9,28,27351280.0,54757559.0,0.06588235294117648,54771.0,0.6713954464954082,29.094533603549323,0.07142857142857142,16.313168123003045,15.4,50945.262011786865,0.0435256168572745,77.59580800058426,1.6432053458947253,499.3752168118165,999.7545964105092,0.3314705458682566,0.3849943083713528,-0.053523762503096206,-0.3191888380937175,0.6506593839619741,3,3
01035,130,1,2,189373.0,201544.0,0.015384615384615385,12394.0,0.8673551718573503,25.9640713248346,0.4,19.740721982652897,26.5,40104.35615811879,0.0924297662449067,104.88946264321446,0.8068420203324189,15.279409391641117,16.261416814587704,0.990662591702065,-1.0380170674814897,2.0286796591835548,-0.9347787529897427,1.9254413446918077,3,3
