Fips Code,Area Name,Poverty Percentage
01001,Autauga County,11.70
01003,Baldwin County,10.00
01005,Barbour County,25.50
01007,Bibb County,19.40
01009,Blount County,12.80
01011,Bullock County,33.60
01013,Butler County,23.60
01015,Calhoun County,20.10
01017,Chambers County,17.10
01019,Cherokee County,15.60
01021,Chilton County,15.30
01023,Choctaw County,24.80
01025,Clarke County,19.00
01027,Clay County,16.90
01029,Cleburne County,15.80
01031,Coffee County,16.50
01033,Colbert County,15.40
01035,Conecuh County,26.50
01037,Coosa County,18.20
01039,Covington County,16.70
01041,Crenshaw County,19.50
01043,Cullman County,15.50
01045,Dale County,16.60
01047,Dallas County,31.40
01049,DeKalb County,21.60
01051,Elmore County,12.50
01053,Escambia County,21.30
01055,Etowah County,19.60
01057,Fayette County,16.20
01059,Franklin County,22.50
01061,Geneva County,19.20
01063,Greene County,31.00
01065,Hale County,23.00
01067,Henry County,16.40
01069,Houston County,16.50
01071,Jackson County,16.00
01073,Jefferson County,16.00
01075,Lamar County,16.40
01077,Lauderdale County,13.60
01079,Lawrence County,14.20
01081,Lee County,17.90
01083,Limestone County,8.60
01085,Lowndes County,29.40
01087,Macon County,28.80
01089,Madison County,10.50
01091,Marengo County,23.50
01093,Marion County,19.00
01095,Marshall County,16.50
01097,Mobile County,16.30
01099,Monroe County,19.10
01101,Montgomery County,18.30
01103,Morgan County,12.00
01105,Perry County,33.80
01107,Pickens County,21.50
01109,Pike County,23.80
01111,Randolph County,15.90
01113,Russell County,18.90
01115,St. Clair County,10.80
01117,Shelby County,8.40
01119,Sumter County,33.50
01121,Talladega County,17.00
01123,Tallapoosa County,15.10
01125,Tuscaloosa County,19.20
01127,Walker County,17.50
01129,Washington County,18.70
01131,Wilcox County,32.70
01133,Winston County,16.60
04001,Apache County,29.60
04003,Cochise County,16.30
04005,Coconino County,17.80
04007,Gila County,17.70
04009,Graham County,17.30
04011,Greenlee County,9.70
04012,La Paz County,18.70
04013,Maricopa County,11.10
04015,Mohave County,16.80
04017,Navajo County,24.70
04019,Pima County,14.00
04021,Pinal County,11.80
04023,Santa Cruz County,20.10
04025,Yavapai County,12.80
04027,Yuma County,15.90
05001,Arkansas County,16.80
05003,Ashley County,18.40
05005,Baxter County,16.00
05007,Benton County,7.80
05009,Boone County,14.90
05011,Bradley County,23.20
05013,Calhoun County,14.30
05015,Carroll County,14.80
05017,Chicot County,29.70
05019,Clark County,18.90
05021,Clay County,17.50
